pod,CPU(m),MEMORY(Mi)
etcd-minikube,0.024719788233593488,145.890625
kube-controller-manager-minikube,0.018778025933339115,111.171875
metrics-server-8467fcc7b7-ljv6z,0.003347065677275572,49.078125
kube-scheduler-minikube,0.007889720929227116,55.9453125
kube-apiserver-minikube,0.04995724270734183,491.22265625
prometheus-prometheus-kube-prometheus-prometheus-0,0.014859348865223708,237.1953125
prometheus-kube-prometheus-operator-66b74b8df7-zp8l5,0.001610568313951006,46.72265625
prometheus-grafana-68589f687c-xbp7f,0.01709253149937,305.1015625
prometheus-prometheus-node-exporter-9r6zb,0.001172897812280938,17.64453125
prometheus-kube-state-metrics-5bc7f89f46-vr78c,0.0010955255170466578,35.96875
alertmanager-prometheus-kube-prometheus-alertmanager-0,0.0010169186094040436,47.4296875
ai-failure-predictor-6fdf7887f9-dnttx,0.0,0.5078125
ai-prediction-7b6c54f4c9-hwsvl,0.0016204106351448463,120.2109375
storage-provisioner,0.0016646028492187923,25.875
ai-prediction-7b6c54f4c9-7zkmv,0.0016165094440067271,120.265625
ai-prediction-7b6c54f4c9-6zfvf,0.0016297597802724403,172.5
ai-prediction-7b6c54f4c9-fgc5k,0.001606509071442944,120.62109375
my-nginx-5b584c864b-vrlxm,0.0,26.61328125
kube-proxy-8qcpv,0.0007164879267684106,53.33984375
ai-prediction-7b6c54f4c9-ww4s4,0.0015677957763470614,132.29296875
coredns-668d6bf9bc-hmppb,0.002182042762156924,47.4453125
etcd-minikube,0.02535090127609019,146.04296875
kube-controller-manager-minikube,0.01877959982601127,110.85546875
metrics-server-8467fcc7b7-ljv6z,0.0035738247978156085,48.8671875
kube-scheduler-minikube,0.008155087623769472,55.765625
kube-apiserver-minikube,0.05059164589657198,511.96484375
prometheus-prometheus-kube-prometheus-prometheus-0,0.01499055594583124,235.9765625
prometheus-kube-prometheus-operator-66b74b8df7-zp8l5,0.0016352968812236818,46.60546875
prometheus-grafana-68589f687c-xbp7f,0.017365980540852845,305.19921875
prometheus-prometheus-node-exporter-9r6zb,0.001181045094012129,17.80078125
prometheus-kube-state-metrics-5bc7f89f46-vr78c,0.0011065463813088481,35.921875
alertmanager-prometheus-kube-prometheus-alertmanager-0,0.0009119101133946941,47.44921875
ai-failure-predictor-6fdf7887f9-dnttx,0.0,0.5078125
ai-prediction-7b6c54f4c9-hwsvl,0.001589543030612849,120.2109375
storage-provisioner,0.0017361501062867005,26.05859375
